q_id,topic,query,,
116,WOMEN CANDIDATES PERFORMANCE,In which year did the maximum number of women contested in UP elections?,SELECT Year FROM Uttar_Pradesh_AE WHERE Gender='F' GROUP BY Year ORDER BY COUNT(Candidate_Name) DESC LIMIT 1,
117,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2022 election?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='Male' AND Year=2022,
118,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2022 election?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022,
119,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2017 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='Male' AND Year=2017,
120,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2017 election?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017,
121,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2022 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 GROUP BY Constituency_Name ORDER BY COUNT(CASE WHEN Gender='F' THEN 1 END) DESC LIMIT 1;,
122,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2017 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name ORDER BY COUNT(CASE WHEN Gender='F' THEN 1 END) DESC LIMIT 1;,
123,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2022?,SELECT COUNT(DISTINCT Constituency_No) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022 AND Candidate_Type='Contestant',
124,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2017?,SELECT COUNT(DISTINCT Constituency_No) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017,
125,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Year=2022 AND Position=1,
126,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2022 AND Position=1,
127,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2022 AND Position=1,
128,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Year=2017 AND Position=1,
129,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2027?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2027 AND Position=1,
130,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2017 AND Position=1,
131,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2022 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Candidate_Type='SC',
132,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2022 election?,SELECT PartyFROM Uttar_Pradesh_AEWHERE Year = 2022GROUP BY PartyHAVING COUNT(CASE WHEN Candidate_Type = 'SC' THEN 1 END) = (SELECT MAX(SC_Count)FROM (SELECT COUNT(CASE WHEN Candidate_Type = 'SC' THEN 1 END) AS SC_CountFROM Uttar_Pradesh_AEWHERE Year = 2022GROUP BY Party) AS T),
133,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2022 elections? ,SELECT Party FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Position = 1 AND Sub_Region = 'SC' GROUP BY Party HAVING COUNT(*) = (SELECT MAX(count)                    FROM (SELECT COUNT(*) as count                          FROM Uttar_Pradesh_AE                          WHERE Year = 2022 AND Position = 1 AND Sub_Region = 'SC'                          GROUP BY Party) as counts),
134,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2022 elections? ,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Position=1 AND Candidate_Type='SC',
135,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2022 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 GROUP BY Constituency_Name ORDER BY COUNT(CASE WHEN Candidate_Type='SC' THEN 1 END) DESC LIMIT 1;,
136,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2022 elections? ,SELECT AVG(Margin) FROM Uttar_Pradesh_AE WHERE Position=1 AND Candidate_Type='SC' AND Year=2022,
137,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2022 elections?,SELECT MAX(Margin) FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2022 AND Sub_Region='SC',
138,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2022 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='Male' AND Candidate_Type='SC' AND Year=2022,
139,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2022 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Candidate_Type='SC' AND Year=2022,
140,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2022 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2022 AND Candidate_Type='SC' ORDER BY Margin DESC LIMIT 1,
141,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2022 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2022 AND Candidate_Type='SC' ORDER BY Margin ASC LIMIT 1,
142,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2017 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Candidate_Type='SC',
143,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2017 election?,SELECT Party FROM Uttar_Pradesh_AE WHERE Year = 2017 GROUP BY Party HAVING COUNT(CASE WHEN Candidate_Type = 'SC' THEN 1 END) = (SELECT MAX(SC_Count) FROM (SELECT COUNT(CASE WHEN Candidate_Type = 'SC' THEN 1 END) AS SC_Count FROM Uttar_Pradesh_AE WHERE Year = 2017 GROUP BY Party) AS T),
144,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2017 elections? ,SELECT Party FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Position = 1 GROUP BY Party HAVING COUNT(Gender = 'SC') = (SELECT MAX(SC_count)                                FROM (SELECT COUNT(*) AS SC_count                                      FROM Uttar_Pradesh_AE                                      WHERE Year = 2017 AND Position = 1 AND Gender = 'SC'                                      GROUP BY Party) AS temp_table),
145,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2017 elections? ,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position=1 AND Candidate_Type='SC',
146,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2017 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name HAVING COUNT(CASE WHEN Candidate_Type='SC' THEN 1 END) = (SELECT MAX(SC_Count) FROM (SELECT COUNT(CASE WHEN Candidate_Type='SC' THEN 1 END) AS SC_Count FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name) AS T),
147,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2017 elections? ,SELECT AVG(Margin) FROM Uttar_Pradesh_AE WHERE Position=1 AND Candidate_Type='SC' AND Year=2017,
148,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2017 elections?,SELECT MAX(Margin) FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2017 AND Sub_Region='SC',
149,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2017 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='Male' AND Candidate_Type='SC' AND Year=2017,
150,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2017 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Candidate_Type='SC' AND Year=2017,
151,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2017 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2017 AND Candidate_Type='SC' ORDER BY Margin DESC LIMIT 1,
152,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2017 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Position=1 AND Year=2017 ORDER BY Margin ASC LIMIT 1,
153,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2022 assembly elections?,SELECT Electors FROM Uttar_Pradesh_AE WHERE Year=2022,
154,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2017 assembly elections?,SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year=2017,
155,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2007 assembly elections?,SELECT Electors FROM Uttar_Pradesh_AE WHERE Year=2007,
156,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2022?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 ORDER BY Electors DESC LIMIT 1;,
157,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2017?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 ORDER BY Electors DESC LIMIT 1,
158,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2007?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2007 ORDER BY Electors DESC LIMIT 1;,
159,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2022?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 ORDER BY Electors ASC LIMIT 1;,
160,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2017?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 ORDER BY Electors ASC LIMIT 1;,
161,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2007?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2007 ORDER BY Electors ASC LIMIT 1;,
162,PARTY'S PERFORMANCE,Which party won in the election of 2022?,SELECT Party FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Position = 1,
163,PARTY'S PERFORMANCE,How much votes get by the winning Party ?,SELECT SUM(Votes) FROM Uttar_Pradesh_AE WHERE Position=1,
164,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BJP in 2022 election ?,SELECT Candidate_Name Party Votes FROM Uttar_Pradesh_AE WHERE Party = 'BJP' AND Year = 2022 ORDER BY Votes DESC LIMIT 3,
165,PARTY'S PERFORMANCE,How many women Candidate won from BJP in 2022 election ?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='Female' AND Party='BJP' AND Year=2022 AND Position=1,
166,PARTY'S PERFORMANCE,How much vote get by BSP  in 2022 election ?,SELECT SUM(Votes) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2022,
167,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BSP in 2022 election ?,SELECT Candidate_Name Party  Votes FROM Uttar_Pradesh_AE WHERE Party = 'BSP' AND Year = 2022 ORDER BY Votes DESC LIMIT 3,
168,PARTY'S PERFORMANCE,How many women Candidate won in BSP in 2022 election ?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Party='BSP' AND Year=2022 AND Position=1,
169,PARTY'S PERFORMANCE,How much vote get by SP  in 2022 election ?,SELECT SUM(Votes) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2022,
170,PARTY'S PERFORMANCE,who are the top three MLAs who get the highest vote in SP in 2022 election ?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Party = 'SP' AND Year = 2022 ORDER BY Votes DESC LIMIT 3,
171,PARTY'S PERFORMANCE,How many women Candidate won in SP in 2022 election ?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Party='SP' AND Year=2022 AND Position=1,
172,PARTY'S PERFORMANCE,How many candidate won in SP in election 2022 ?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2022 AND Position=1,
173,PARTY'S PERFORMANCE,How many vote get by Congress  in 2022 election ?,SELECT SUM(Votes) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Year=2022,
174,PARTY'S PERFORMANCE,Who are the top three MLAs who get the highest vote in Congress in 2022 election ?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Party = 'INC' AND Year = 2022 ORDER BY Votes DESC LIMIT 3,
175,PARTY'S PERFORMANCE,How many women Candidate won in Congress in 2022 election ?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Position=1 AND Gender='F' AND Party='INC' AND Year=2022,
176,PARTY'S PERFORMANCE,How many candidate won in Congress  in election 2022 ?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Position=1 AND Year=2022,
